id,municipios,bairros_ibge,setores,pop,domicilios,criancas_0_14,jovens_15_29,renda_media_resp,pct_fcu,pct_preta_parda,sem_fundamental_25_2010,desocupacao_2010,comunidades_fcu,unidade_mais_proxima,dist_km,loja_venda_mais_proxima,dist_venda_km,lat,lon
73,Sapucaia do Sul,,1,493,174,127,126,1745.14,0,28.19,49.05,7.18,,LJ Sapucaia do Sul,3.76,LJ Sapucaia do Sul,3.76,-29.85,-51.12
74,Porto Alegre,Anchieta | Sarandi,2,488,152,169,151,972.49,100,40.25,52.57,6.33,Vila Dique I,Aero Salgado Filho,2.82,SH Center Lar,3.28,-29.98,-51.16
75,Porto Alegre,Menino-Deus | Azenha,3,486,169,89,139,1700.63,0,67.63,7.53,4.79,,SH Praia de Belas,0.81,SH Praia de Belas,0.81,-30.05,-51.22
76,Gravataí,,2,484,175,126,124,1510.28,0,38.02,36.72,7.52,,SH do Vale,4.07,SH do Vale,4.07,-29.95,-51.04
77,Porto Alegre,Jardim Carvalho,1,481,163,120,125,1839.71,100,38.05,43.87,5.86,Vila Joana D'Arc,Loja Adm Porto Alegre,2.01,SH Iguatemi POA,3.77,-30.05,-51.14
78,Porto Alegre,Cristal,2,481,160,98,122,1744.94,38.25,45.53,17.45,4.7,Vila Cristal,SH Barrasul,0.74,SH Barrasul,0.74,-30.08,-51.24
79,Esteio,São Sebastião,1,454,150,116,115,1719.05,0,32.45,22.86,3.32,,LJ Esteio,1.69,LJ Esteio,1.69,-29.86,-51.18
80,Canoas,Olaria,1,436,153,92,100,1767.32,0,25.46,39.85,8.63,,SH Park Canoas,3.77,SH Park Canoas,3.77,-29.93,-51.13
81,Sapucaia do Sul,,1,430,218,71,98,1849.36,0,33.1,44.78,7.87,,LJ Sapucaia do Sul,2.3,LJ Sapucaia do Sul,2.3,-29.81,-51.17
82,Gravataí,,1,423,181,79,82,1824.97,0,21.04,44.03,7.8,,SH Gravataí,3.35,SH Gravataí,3.35,-29.95,-51.03
83,Canoas,Harmonia | Centro,2,422,146,136,101,1401.4,100,34.83,35.46,7.04,Rua Araçá / Ocupação Verdes Campos,CC Canoas,1.5,CC Canoas,1.5,-29.92,-51.19
